Title,URL,Description,status,Web URL,Nomor Regulasi
Surat Edaran Bank Indonesia Nomor 14/4/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-4-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 14/4/DPNP tanggal 25 Januari 2012 perihal Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/4/DPNP
Surat Edaran Bank Indonesia Nomor 13/31/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-31-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 13/31/DPNP tanggal 22 Desember 2011 perihal Lembaga Pemeringkat dan Peringkat Yang Diakui Bank Indonesia,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/31/DPNP
Surat Edaran Bank Indonesia Nomor 13/30/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-30-dpnp.aspx,Surat Edaran Nomor 13/30/DPNP Tanggal 16 Desember 2011 Perihal Perubahan Ketiga atas Surat Edaran Bank Indonesia Nomor 3/30/DPNP tanggal 14 Desember 2001 perihal Laporan Keuangan Publikasi Triwulanan dan Bulanan Bank Umum serta Laporan Tertentu yang Disampaikan kepada Bank Indonesia,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/30/DPNP
Surat Edaran Bank Indonesia Nomor 13/28/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-28-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 13/28/DPNP tanggal 9 Desember 2011 perihal Penerapan Strategi Anti Fraud bagi Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/28/DPNP
Surat Edaran Bank Indonesia Nomor 13/29/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-29-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 13/29/DPNP tanggal 9 Desember 2011 perihal Penerapan Manajemen Risiko pada Bank Umum yang Melakukan Layanan Nasabah Prima,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/29/DPNP
Surat Edaran Bank Indonesia Nomor 13/26/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-26-dpnp.aspx,Surat Edaran Bank Indonesia No.13/26/DPNP tanggal 30 November 2011 tentang Perubahan atas Surat Edaran Bank Indonesia Nomor 13/8/DPNP tanggal 28 Maret 2011 tentang Uji Kemampuan dan Kepatutan (Fit and Proper Test),Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/26/DPNP
Surat Edaran Bank Indonesia Nomor 13/25/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-25-dpnp.aspx,"Surat Edaran Bank Indonesia Nomor 13/25/DPNP tanggal 25 November 2011 Perihal Pencabutan Surat Edaran Bank Indonesia Nomor 29/02/UPPB tanggal 31 Juli 1996 Perihal Tatacara Penerimaan, Penatausahaan, Pelaporan Setoran Penerimaan Negara dan Pengenaan Sanksi",Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/25/DPNP
Surat Edaran Bank Indonesia Nomor 13/23/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-23-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 13/23/DPNP tanggal 25 Oktober 2011 perihal Perubahan atas Surat Edaran No.5/21/DPNP perihal Penerapan Manajemen Risiko bagi Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/23/DPNP
Surat Edaran Bank Indonesia Nomor 13/24/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-24-dpnp.aspx,Surat Edaran Nomor 13/24/DPNP tanggal 25 Oktober 2011 tentang Penilaian Tingkat Kesehatan Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/24/DPNP
Surat Edaran Bank Indonesia Nomor 13/15/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-13-15-dpbs.aspx,Surat Edaran Bank Indonesia Nomor Nomor 13/15/DPbS perihal Laporan Bulanan Bank Pembiayaan Rakyat Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,13/15/DPbS
