title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Surat Edaran Bank Indonesia Nomor 15/10/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-10-dpnp.aspx,,,,15/10/DPNP,28 Mar 2013,Documents -- 25.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/25.pdf
Surat Edaran Bank Indonesia Nomor 15/10/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-10-dpnp.aspx,,,,15/10/DPNP,28 Mar 2013,2013 -- faq_se_151013.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_151013.pdf
Surat Edaran Bank Indonesia Nomor 15/8/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-8-dpbs.aspx,,,,15/8/DPbS,27 Mar 2013,Documents -- 26.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/26.pdf
Surat Edaran Bank Indonesia Nomor 15/8/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-8-dpbs.aspx,,,,15/8/DPbS,27 Mar 2013,2013 -- faq_se158_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se158_13.pdf
Surat Edaran Bank Indonesia Nomor 15/7/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-7-dpnp.aspx,,,,15/7/DPNP,8 Mar 2013,Documents -- 27.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/27.pdf
Surat Edaran Bank Indonesia Nomor 15/7/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-7-dpnp.aspx,,,,15/7/DPNP,8 Mar 2013,2013 -- lampiran_se_150714.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lampiran_se_150714.pdf
Surat Edaran Bank Indonesia Nomor 15/7/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-7-dpnp.aspx,,,,15/7/DPNP,8 Mar 2013,2013 -- faq_se_150713.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_150713.pdf
Surat Edaran Bank Indonesia Nomor 15/6/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-6-dpnp.aspx,,,,15/6/DPNP,8 Mar 2013,Documents -- 28.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/28.pdf
Surat Edaran Bank Indonesia Nomor 15/6/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-6-dpnp.aspx,,,,15/6/DPNP,8 Mar 2013,2013 -- lampiran_se_150613.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lampiran_se_150613.pdf
Surat Edaran Bank Indonesia Nomor 15/6/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-6-dpnp.aspx,,,,15/6/DPNP,8 Mar 2013,2013 -- faq_se_150613.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_150613.pdf
